トレジャー新庄店,山形県新庄市金沢沖１０６８
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
セガ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
セガ米沢,山形県米沢市大字花沢字タナコ原177
モーリーファンタジー米沢,山形県米沢市春日2-13-4　2F
ＮＥＸＴ・ＯＮＥ米沢店,山形県米沢市金池5丁目3-18
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
ドリームファクトリーいわき店,福島県いわき市中央台飯野4-1
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
モーリーファンタジーいわき,福島県いわき市平字三倉６８−１イオン３Ｆ
プレビ　イトーヨーカ堂平店,福島県いわき市平６−６−２イトーヨーカドー平店内
プレビ　鹿島エブリア店,福島県いわき市鹿島町米田字日渡5 鹿島エブリア店2階
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
G3ポロス原町店,福島県南相馬市原町区北原本屋敷188
ＰＡＬＯ喜多方,福島県喜多方市字押切南２−４２−１リオンドールガーデンＳＱ内
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
ラウンドワン福島店,福島県福島市太田町14-18
セガワールド福島,福島県福島市本内中井1-2
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
スーパーノバ福島,福島県福島市黒岩字中島7-2
ゲームスペースA-3,福島県西白河郡西郷村字豊作西15-16-17
タイトーアミューズメントシティ郡山,福島県郡山市南2-38　フレスポ郡山内
ラウンドワン郡山店,福島県郡山市向河原町４−５５
アミューズパーク郡山,福島県郡山市安積町日出山2丁目80
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
セガ日和田,福島県郡山市日和田町字西中島7-1
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２−８８イオンタウン郡山内
ゲームプラザＡＧＳ,福島県郡山市西ノ内２−１１−４０イトーヨーカドー郡山店４Ｆ
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
ピンクパンサーつくばみらい店,茨城県つくばみらい市陽光台1-14-1
namco iiasつくば店,茨城県つくば市研究学園5-19　iiasつくば店2F2190
ｎａｍｃｏイオンモールつくば店,茨城県つくば市稲岡66-1ｲｵﾝﾓｰﾙつくば店3F
アミューズメントジャムジャムつくば店,茨城県つくば市竹園1-9-2デイズタウンつくばB1F
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１
ＡＭジャムジャムひたちなか本店,茨城県ひたちなか市田中後４０−２
ピンクパンサー下妻店,茨城県下妻市小島884-10
モーリーファンタジー下妻,茨城県下妻市掘籠９７２−１イオン下妻店2F
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１
ＦＥＳＴＡ古河店,茨城県古河市松並２−１８−１０マーケットシティ古河
